errorLength[bit],PSNR[db], embedPer[%]
8,51.13157143044206,100.0,
16,56.35111154477573,50.0,
32,60.484073995253205,25.0,
64,63.74287786388304,12.5,
128,67.41942991155874,6.25,
51.141103565318915
