åÎÇËÉpÉ^Å[Éìí∑, ñÑÇﬂçûÇ›îÕàÕ, ñÑÇﬂçûÇ›ó¶,PSNR,SSIM,åÎÇËó¶
8,1,100.0,51.13157143044206,0.9986422056189985,50.10986328125
8,2,100.0,43.97041913717566,0.9932657038829543,50.146484375
8,3,100.0,37.691096824676166,0.9731967144347636,50.093587239583336
8,4,100.0,31.5469802143023,0.9064581711579973,50.11405944824219
8,5,100.0,25.65483900223855,0.7425378975007152,50.0830078125
8,6,100.0,19.544187586695415,0.542132962406659,50.0274658203125
8,7,100.0,14.225306092351218,0.2764353539529317,50.020926339285715
8,8,100.0,8.27546629348882,0.009467535588331317,50.00457763671875
9,1,88.88888888888889,52.514895974851676,0.9989705672388416,36.4410400390625
9,2,88.88888888888889,45.384493052258605,0.9948279975629735,36.47918701171875
9,3,88.88888888888889,39.094224965354464,0.979261069859106,36.43646240234375
9,4,88.88888888888889,33.01778509104866,0.9267574319459503,36.43035888671875
9,5,88.88888888888889,27.08846162995631,0.7875116805254742,36.416015625
9,6,88.88888888888889,20.972875203664138,0.5906395124510257,36.383056640625
9,7,88.88888888888889,15.484903364878658,0.33296764081734065,36.368015834263396
9,8,88.88888888888889,9.531600037329515,0.07443817942033998,36.362457275390625
10,1,80.0,53.277709447228915,0.9991223805597677,30.57098388671875
10,2,80.0,46.180617429022845,0.9956353756028734,30.5755615234375
10,3,80.0,39.899831676493456,0.9824465018082091,30.527750651041668
10,4,80.0,33.79747017172932,0.9356663003941582,30.5419921875
10,5,80.0,27.879558954604,0.8103137195329677,30.537109375
10,6,80.0,21.752353873920338,0.617290888768666,30.527242024739582
10,7,80.0,16.20247937330563,0.3614013593462365,30.498613630022323
10,8,80.0,10.22599359213898,0.10724033676100901,30.487442016601562
11,1,72.72727272727273,54.095568653346746,0.999257151006857,25.323486328125
11,2,72.72727272727273,47.004275834945275,0.9963308223767456,25.35247802734375
11,3,72.72727272727273,40.734894762363005,0.9849595527528677,25.34332275390625
11,4,72.72727272727273,34.645748974878586,0.9453661903871537,25.334548950195312
11,5,72.72727272727273,28.690449272369474,0.83131571702592,25.33538818359375
11,6,72.72727272727273,22.57510961666352,0.6446937328041135,25.3326416015625
11,7,72.72727272727273,16.954128920334476,0.39594865905881954,25.3173828125
11,8,72.72727272727273,10.960603101635511,0.14342671547830027,25.302696228027344
12,1,66.66666666666666,54.69452071080659,0.9993486629083953,22.0611572265625
12,2,66.66666666666666,47.642075427102114,0.9967875925074381,22.04132080078125
12,3,66.66666666666666,41.37093255026464,0.9868011908016517,22.039794921875
12,4,66.66666666666666,35.2557946921636,0.9511624128033468,22.031021118164062
12,5,66.66666666666666,29.308691937515725,0.8472551275646938,22.027587890625
12,6,66.66666666666666,23.21694255414541,0.668252881181719,22.023518880208332
12,7,66.66666666666666,17.555101415525964,0.42162000912623576,22.014072963169642
12,8,66.66666666666666,11.532070530088026,0.17188643497639772,22.001075744628906
13,1,61.53846153846154,55.14449255987262,0.9994113899416299,19.88983154296875
13,2,61.53846153846154,48.098387263561754,0.9970851134808104,19.8822021484375
13,3,61.53846153846154,41.79688659752553,0.9878434609615403,19.911702473958332
13,4,61.53846153846154,35.70468530337891,0.9550532471382653,19.909286499023438
13,5,61.53846153846154,29.734518314300445,0.8573810583831791,19.90447998046875
13,6,61.53846153846154,23.653442178119345,0.6825728804741654,19.905598958333332
13,7,61.53846153846154,17.94859523219178,0.4385050147581522,19.901602608816965
13,8,61.53846153846154,11.974750865734558,0.18880303563711293,19.898414611816406
14,1,57.14285714285714,55.56135234745628,0.9994599327080543,18.0694580078125
14,2,57.14285714285714,48.48911803064873,0.9973181457474037,18.059539794921875
14,3,57.14285714285714,42.22390415007904,0.988966347004776,18.088277180989582
14,4,57.14285714285714,36.12509413731353,0.9581883141367844,18.076324462890625
14,5,57.14285714285714,30.19079631300714,0.866870444702853,18.0718994140625
14,6,57.14285714285714,24.091682258649154,0.6961226954439705,18.071746826171875
14,7,57.14285714285714,18.380092425215572,0.457115185447438,18.065534319196427
14,8,57.14285714285714,12.368442472771239,0.20810931095964655,18.065452575683594
15,1,53.333333333333336,55.97062408634499,0.9995109309376836,16.44439697265625
15,2,53.333333333333336,48.915967845215256,0.997563274147811,16.43524169921875
15,3,53.333333333333336,42.62769507224408,0.9898771748943308,16.477457682291668
15,4,53.333333333333336,36.556896906030694,0.9623371676866087,16.473388671875
15,5,53.333333333333336,30.581728167452034,0.877951250175893,16.45782470703125
15,6,53.333333333333336,24.52404608209857,0.7167102927848292,16.4581298828125
15,7,53.333333333333336,18.767550861167436,0.47928327046485875,16.459001813616073
15,8,53.333333333333336,12.794507556822355,0.23080178489924488,16.454124450683594
16,1,50.0,56.35111154477573,0.9995530609394029,15.06500244140625
16,2,50.0,49.29505905863371,0.9977737821661526,15.027618408203125
16,3,50.0,43.034436816972274,0.9908647821054202,15.034993489583334
16,4,50.0,36.93398047517518,0.9654848307756446,15.038299560546875
16,5,50.0,30.971008489076574,0.8880878458171949,15.02899169921875
16,6,50.0,24.94841546531553,0.7375969580146846,15.0146484375
16,7,50.0,19.1628507574801,0.504747825784011,15.013994489397321
16,8,50.0,13.171334926687553,0.2545851747363318,15.010261535644531
17,1,47.05882352941176,56.763323199317554,0.9995856504103147,13.70086669921875
17,2,47.05882352941176,49.75316347718465,0.9979370512596961,13.706207275390625
17,3,47.05882352941176,43.445005683607235,0.9914679013367933,13.710530598958334
17,4,47.05882352941176,37.34335046153068,0.9675418247268068,13.724136352539062
