åÎÇËÉpÉ^Å[Éìí∑, ñÑÇﬂçûÇ›îÕàÕ, ñÑÇﬂçûÇ›ó¶,PSNR,SSIM,åÎÇËó¶
8,1,100.0,51.13157143044206,0.9968065644075481,50.10986328125
8,2,100.0,44.06313628692749,0.984045976572763,50.146484375
8,3,100.0,37.90059618655626,0.9384181787107692,50.093587239583336
8,4,100.0,31.837674679253798,0.8095451753947306,50.11405944824219
8,5,100.0,26.073129346802652,0.5706854808727916,50.0830078125
8,6,100.0,19.907004749077693,0.2899356599683372,50.0274658203125
8,7,100.0,14.311122989397152,0.0942358570263886,50.020926339285715
8,8,100.0,7.701726930323702,0.008304052323722413,50.00457763671875
9,1,88.88888888888889,52.514895974851676,0.9976489270832228,36.4410400390625
9,2,88.88888888888889,45.47443027980926,0.9883672026553884,36.47918701171875
9,3,88.88888888888889,39.27200419817612,0.9538189320918644,36.43646240234375
9,4,88.88888888888889,33.216028202318284,0.847921255884486,36.43035888671875
9,5,88.88888888888889,27.372164307684862,0.6274159302331287,36.416015625
9,6,88.88888888888889,21.25574070187369,0.34462708791323327,36.383056640625
9,7,88.88888888888889,15.536843616933211,0.1317760532217941,36.368015834263396
9,8,88.88888888888889,9.092079511113326,0.02569651592557217,36.362457275390625
10,1,80.0,53.277709447228915,0.9980266035206011,30.57098388671875
10,2,80.0,46.23543751937572,0.9901268302997701,30.5755615234375
10,3,80.0,40.04903894062235,0.9604709546180702,30.527750651041668
10,4,80.0,33.98000232467349,0.8670981438909259,30.5419921875
10,5,80.0,28.09290309553457,0.659702217057677,30.537109375
10,6,80.0,21.99330856528549,0.378255136282578,30.527242024739582
10,7,80.0,16.25490094239111,0.15291424812988486,30.498613630022323
10,8,80.0,9.886905651540902,0.037127749549704284,30.487442016601562
11,1,72.72727272727273,54.095568653346746,0.9983627179511242,25.323486328125
11,2,72.72727272727273,47.04991572242139,0.9917442405976554,25.35247802734375
11,3,72.72727272727273,40.886904751255074,0.9671581472790808,25.34332275390625
11,4,72.72727272727273,34.80397856424259,0.8859116376272026,25.334548950195312
11,5,72.72727272727273,28.867164326095732,0.6921165049591032,25.33538818359375
11,6,72.72727272727273,22.78929177293365,0.41531006610674637,25.3326416015625
11,7,72.72727272727273,16.985779029012505,0.17857989350661704,25.3173828125
11,8,72.72727272727273,10.676283864733362,0.049078594969306125,25.302696228027344
12,1,66.66666666666666,54.69452071080659,0.9985668727204098,22.0611572265625
12,2,66.66666666666666,47.66916174787443,0.9928161585782699,22.04132080078125
12,3,66.66666666666666,41.463925158929925,0.9711075579736396,22.039794921875
12,4,66.66666666666666,35.388600549061884,0.8979322539136229,22.031021118164062
12,5,66.66666666666666,29.478620187856418,0.7186286810051475,22.027587890625
12,6,66.66666666666666,23.441593116255447,0.44628852220487447,22.023518880208332
12,7,66.66666666666666,17.564367657096465,0.19817767961044858,22.014072963169642
12,8,66.66666666666666,11.283200086766644,0.060440172451112904,22.001075744628906
13,1,61.53846153846154,55.14449255987262,0.9987083714752951,19.88983154296875
13,2,61.53846153846154,48.134317237816305,0.9935253843260021,19.8822021484375
13,3,61.53846153846154,41.87829031591722,0.9735508509891456,19.911702473958332
13,4,61.53846153846154,35.81306930270626,0.9061316593155665,19.909286499023438
13,5,61.53846153846154,29.923641602108365,0.7359951382896393,19.90447998046875
13,6,61.53846153846154,23.857666077375693,0.46437437636644463,19.905598958333332
13,7,61.53846153846154,18.001856282852337,0.2154308500129348,19.901602608816965
13,8,61.53846153846154,11.720375837315016,0.06725665727285973,19.898414611816406
14,1,57.14285714285714,55.56135234745628,0.9988196964063502,18.0694580078125
14,2,57.14285714285714,48.5757617449398,0.9941559055985497,18.059539794921875
14,3,57.14285714285714,42.30894748823367,0.9759643273188278,18.088277180989582
14,4,57.14285714285714,36.27804951009892,0.9142052123107866,18.076324462890625
14,5,57.14285714285714,30.377566766702515,0.7530846524794604,18.0718994140625
14,6,57.14285714285714,24.28203757847853,0.48632479451172866,18.071746826171875
14,7,57.14285714285714,18.418143533342203,0.23175952146158255,18.065534319196427
14,8,57.14285714285714,12.149700098118839,0.07504652424599621,18.065452575683594
15,1,53.333333333333336,55.97062408634499,0.9989213669061063,16.44439697265625
15,2,53.333333333333336,48.96001933441966,0.9946131304227147,16.43524169921875
15,3,53.333333333333336,42.70862290457505,0.9781726762385721,16.477457682291668
15,4,53.333333333333336,36.662102836549266,0.9211329728647326,16.473388671875
15,5,53.333333333333336,30.72840947494967,0.7696292768858201,16.45782470703125
15,6,53.333333333333336,24.60479553976318,0.5078111990739691,16.4581298828125
15,7,53.333333333333336,18.782348575345726,0.25242339345994247,16.459001813616073
15,8,53.333333333333336,12.56859390375511,0.08790945485724529,16.454124450683594
16,1,50.0,56.35111154477573,0.9990247474888809,15.06500244140625
16,2,50.0,49.32845779353102,0.9951214093350078,15.027618408203125
16,3,50.0,43.12155160640064,0.9801850300480242,15.034993489583334
16,4,50.0,37.07359728491266,0.9281539442663269,15.038299560546875
16,5,50.0,31.133363727821717,0.7879181810191698,15.02899169921875
16,6,50.0,25.070821130243083,0.5391150729326339,15.0146484375
16,7,50.0,19.187305822260893,0.2804265688274369,15.013994489397321
16,8,50.0,12.96641268923488,0.10506471621173229,15.010261535644531
17,1,47.05882352941176,56.763323199317554,0.9991035750917675,13.70086669921875
17,2,47.05882352941176,49.77555829905234,0.9955578490315942,13.706207275390625
17,3,47.05882352941176,43.535145982457564,0.9817702796818489,13.710530598958334
17,4,47.05882352941176,37.46183369820139,0.9334318361101598,13.724136352539062
17,5,47.05882352941176,31.525891838497735,0.7999361605921893,13.72406005859375
17,6,47.05882352941176,25.45224175095699,0.5555716424435876,13.711802164713541
17,7,47.05882352941176,19.546507934242097,0.2907728601760576,13.716997419084821
17,8,47.05882352941176,13.334813226683991,0.11102770377526493,13.718414306640625
18,1,44.44444444444444,57.153229437238686,0.9991834024240219,12.5244140625
18,2,44.44444444444444,50.16903563957122,0.9959484219957074,12.537384033203125
18,3,44.44444444444444,43.94547243743482,0.9833545077600545,12.52899169921875
18,4,44.44444444444444,37.84390288639965,0.9375603548512034,12.54425048828125
18,5,44.44444444444444,31.89646190331171,0.8076787069911735,12.528076171875
18,6,44.44444444444444,25.851426838003214,0.5657163812069341,12.525177001953125
18,7,44.44444444444444,19.93527228217324,0.29802675012592544,12.520490373883929
18,8,44.44444444444444,13.727669377233266,0.1117744867020042,12.525367736816406
19,1,42.10526315789473,57.55310468713206,0.9992520251905628,11.4227294921875
19,2,42.10526315789473,50.53887601128303,0.9962615861018699,11.449432373046875
19,3,42.10526315789473,44.340757684578456,0.9847252866132629,11.446126302083334
19,4,42.10526315789473,38.23389817803424,0.9424821973553195,11.451339721679688
