åÎÇËÉpÉ^Å[Éìí∑, ñÑÇﬂçûÇ›îÕàÕ, ñÑÇﬂçûÇ›ó¶,PSNR,SSIM,åÎÇËó¶
8,1,100.0,51.13157143044206,0.9982141261290876,50.10986328125
8,2,100.0,44.138804372872855,0.9912449284024429,50.146484375
8,3,100.0,37.920602361259775,0.9659103995132946,50.093587239583336
8,4,100.0,31.82639946303132,0.8880960144553768,50.11405944824219
8,5,100.0,25.752695156696227,0.720211829733405,50.0830078125
8,6,100.0,19.964875675278975,0.4763942834172062,50.0274658203125
8,7,100.0,14.134314681848025,0.22619660152730076,50.020926339285715
8,8,100.0,6.812408284245349,0.0108564965294022,50.00457763671875
9,1,88.88888888888889,52.514895974851676,0.99870916545093,36.4410400390625
9,2,88.88888888888889,45.54108228336486,0.9936615457248568,36.47918701171875
9,3,88.88888888888889,39.312456975380265,0.9745982101372873,36.43646240234375
9,4,88.88888888888889,33.2040768468924,0.9125402604149587,36.43035888671875
9,5,88.88888888888889,27.144553278036746,0.766575245487813,36.416015625
9,6,88.88888888888889,21.293515168623763,0.53550262308987,36.383056640625
9,7,88.88888888888889,15.424348483632478,0.2798435755332689,36.368015834263396
9,8,88.88888888888889,8.433354071317641,0.05555142558226579,36.362457275390625
10,1,80.0,53.277709447228915,0.9989137732498689,30.57098388671875
10,2,80.0,46.26121302301421,0.9945507976327771,30.5755615234375
10,3,80.0,40.07475850648282,0.9783912324976255,30.527750651041668
10,4,80.0,33.97273091131042,0.9245253679669376,30.5419921875
10,5,80.0,27.912284449666522,0.790369753872927,30.537109375
10,6,80.0,22.026830919848006,0.568030505767665,30.527242024739582
10,7,80.0,16.148096670188007,0.3108187425281366,30.498613630022323
10,8,80.0,9.30432375993393,0.07823471085291964,30.487442016601562
11,1,72.72727272727273,54.095568653346746,0.9990996910408503,25.323486328125
11,2,72.72727272727273,47.08477566733233,0.9955532218491587,25.35247802734375
11,3,72.72727272727273,40.86118081904526,0.9820310908203478,25.34332275390625
11,4,72.72727272727273,34.76340742227035,0.9354741887670407,25.334548950195312
11,5,72.72727272727273,28.740116601331493,0.8157354892605864,25.33538818359375
11,6,72.72727272727273,22.82247296948112,0.6016420973627377,25.3326416015625
11,7,72.72727272727273,16.914267196610403,0.3465074201656036,25.3173828125
11,8,72.72727272727273,10.230941311371094,0.10589630331456847,25.302696228027344
12,1,66.66666666666666,54.69452071080659,0.9992172711108407,22.0611572265625
12,2,66.66666666666666,47.735931411416985,0.9961547651172117,22.04132080078125
12,3,66.66666666666666,41.486023939122354,0.9843713586820574,22.039794921875
12,4,66.66666666666666,35.390433619141305,0.9430490581289382,22.031021118164062
12,5,66.66666666666666,29.33379578507705,0.8306264543379082,22.027587890625
12,6,66.66666666666666,23.42061195621398,0.6267611180747082,22.023518880208332
12,7,66.66666666666666,17.502451400362865,0.3708179685708088,22.014072963169642
12,8,66.66666666666666,10.888808513100571,0.12416034566802349,22.001075744628906
13,1,61.53846153846154,55.14449255987262,0.9992995114666329,19.88983154296875
13,2,61.53846153846154,48.14547360306385,0.9964848822180732,19.8822021484375
13,3,61.53846153846154,41.91399403335275,0.9856461983091176,19.911702473958332
13,4,61.53846153846154,35.83548075074927,0.9475711186559747,19.909286499023438
13,5,61.53846153846154,29.778122724175674,0.8432591284680133,19.90447998046875
13,6,61.53846153846154,23.882452887779657,0.6456774850045979,19.905598958333332
13,7,61.53846153846154,17.946558701113787,0.39061131488202167,19.901602608816965
13,8,61.53846153846154,11.317528247972547,0.14285233576928338,19.898414611816406
14,1,57.14285714285714,55.56135234745628,0.9993668297873288,18.0694580078125
14,2,57.14285714285714,48.59754790841863,0.9968514055525385,18.059539794921875
14,3,57.14285714285714,42.34223412565381,0.9870385190169731,18.088277180989582
14,4,57.14285714285714,36.26833681953749,0.9520889223040443,18.076324462890625
14,5,57.14285714285714,30.187134644731216,0.8529305089900716,18.0718994140625
14,6,57.14285714285714,24.27023316558617,0.6616107034539601,18.071746826171875
14,7,57.14285714285714,18.33513134207562,0.40874640546588425,18.065534319196427
14,8,57.14285714285714,11.773729892587754,0.15658291834059848,18.065452575683594
15,1,53.333333333333336,55.97062408634499,0.9994239391942389,16.44439697265625
15,2,53.333333333333336,48.97415920461887,0.9970976103435731,16.43524169921875
15,3,53.333333333333336,42.70223870670932,0.988042358354347,16.477457682291668
15,4,53.333333333333336,36.67550569784618,0.9562398818517202,16.473388671875
15,5,53.333333333333336,30.65401831791626,0.8642360988567414,16.45782470703125
15,6,53.333333333333336,24.713546261121238,0.6822090149226872,16.4581298828125
15,7,53.333333333333336,18.720055084925043,0.4308960937571603,16.459001813616073
15,8,53.333333333333336,12.190781328323833,0.17859622455518814,16.454124450683594
16,1,50.0,56.35111154477573,0.9994790900231926,15.06500244140625
16,2,50.0,49.40882461308018,0.9974022709437067,15.027618408203125
16,3,50.0,43.153790590509836,0.9893437118102048,15.034993489583334
16,4,50.0,37.05005522631573,0.9604897316281962,15.038299560546875
16,5,50.0,31.01649414390748,0.8757924108073497,15.02899169921875
16,6,50.0,25.074953116952475,0.7019584423693137,15.0146484375
16,7,50.0,19.11304293455451,0.4600313407726941,15.013994489397321
16,8,50.0,12.628045419285186,0.20416651200558272,15.010261535644531
17,1,47.05882352941176,56.763323199317554,0.9995192187443614,13.70086669921875
17,2,47.05882352941176,49.77168887474556,0.9976162240955788,13.706207275390625
17,3,47.05882352941176,43.53938015091253,0.9900685756114884,13.710530598958334
17,4,47.05882352941176,37.44093338149612,0.963060928814773,13.724136352539062
17,5,47.05882352941176,31.427418839596225,0.8824660884811127,13.72406005859375
17,6,47.05882352941176,25.463503457059566,0.7142190881832177,13.711802164713541
17,7,47.05882352941176,19.490322170636137,0.47168881250002104,13.716997419084821
17,8,47.05882352941176,13.033705850033643,0.21331885723892235,13.718414306640625
18,1,44.44444444444444,57.153229437238686,0.999555372665703,12.5244140625
18,2,44.44444444444444,50.141995133067596,0.997754696978465,12.537384033203125
18,3,44.44444444444444,43.9293235152732,0.9909240639021214,12.52899169921875
18,4,44.44444444444444,37.82904071622562,0.9658480204936662,12.54425048828125
18,5,44.44444444444444,31.821758656172726,0.8890436944707149,12.528076171875
18,6,44.44444444444444,25.871484479536974,0.7246963899067286,12.525177001953125
18,7,44.44444444444444,19.923500012783805,0.4835378449942628,12.520490373883929
18,8,44.44444444444444,13.451393310749598,0.22028889437113425,12.525367736816406
19,1,42.10526315789473,57.55310468713206,0.9996040350653639,11.4227294921875
19,2,42.10526315789473,50.5620125255361,0.9979834759840884,11.449432373046875
19,3,42.10526315789473,44.313597284746635,0.9916365393454325,11.446126302083334
19,4,42.10526315789473,38.21834540441565,0.968279415026675,11.451339721679688
19,5,42.10526315789473,32.185480124073344,0.8961660468875527,11.4501953125
19,6,42.10526315789473,26.21545960679517,0.7379688629164661,11.446634928385416
19,7,42.10526315789473,20.23784673436672,0.4995322803940979,11.448015485491071
19,8,42.10526315789473,13.857391098167358,0.2367603079593378,11.453437805175781
20,1,40.0,57.93489482576468,0.9996267450881974,10.46142578125
20,2,40.0,50.92648497197986,0.9981413330227296,10.482025146484375
20,3,40.0,44.70992764298273,0.9924236883824132,10.471598307291666
20,4,40.0,38.638232085334174,0.9715172871721537,10.473251342773438
20,5,40.0,32.60079483925492,0.9041651933246254,10.46875
20,6,40.0,26.633898258411442,0.7510912630234803,10.470072428385416
20,7,40.0,20.633947515932473,0.5168562560908543,10.464913504464286
20,8,40.0,14.2842374553915,0.2522577702320875,10.4705810546875
21,1,38.095238095238095,58.35979424123454,0.9996674332004774,9.48638916015625
21,2,38.095238095238095,51.32119196414638,0.9983199708128662,9.534454345703125
21,3,38.095238095238095,45.106576576186114,0.9930544018982728,9.541829427083334
21,4,38.095238095238095,39.0452057185303,0.9734921466743152,9.540557861328125
21,5,38.095238095238095,32.97994326332814,0.9100709345063768,9.54803466796875
21,6,38.095238095238095,27.019704239457,0.7654334990688005,9.550221761067709
21,7,38.095238095238095,21.040587043548392,0.5349702204324479,9.552219935825892
21,8,38.095238095238095,14.765595883306728,0.2714720389890327,9.544944763183594
22,1,36.36363636363637,58.737616345177784,0.9996955411178914,8.69598388671875
22,2,36.36363636363637,51.729665412472016,0.9984732747626669,8.721923828125
22,3,36.36363636363637,45.49832901764303,0.9936731264507151,8.720906575520834
22,4,36.36363636363637,39.41746947144392,0.9753282277160602,8.716583251953125
22,5,36.36363636363637,33.34380601021487,0.9162155839625339,8.72314453125
22,6,36.36363636363637,27.37819114427097,0.777090788135388,8.722941080729166
22,7,36.36363636363637,21.392049864189822,0.5495451378788211,8.72039794921875
22,8,36.36363636363637,15.190729689265904,0.2846590663265443,8.716964721679688
23,1,34.78260869565217,58.96202503566024,0.9997114720755759,8.258056640625
23,2,34.78260869565217,51.93334016221027,0.9985295726579773,8.28704833984375
23,3,34.78260869565217,45.718941875817805,0.9940217446342731,8.285013834635416
23,4,34.78260869565217,39.63424358561209,0.9764370369271491,8.282089233398438
23,5,34.78260869565217,33.561034229948696,0.9195041993843182,8.2891845703125
23,6,34.78260869565217,27.60935129382494,0.7836657128656033,8.290354410807291
23,7,34.78260869565217,21.608192610777486,0.5604302686944498,8.290754045758929
23,8,34.78260869565217,15.359862937448227,0.2989227527696143,8.28857421875
24,1,33.33333333333333,59.156499373626545,0.9997177446120954,7.89642333984375
24,2,33.33333333333333,52.1233778705784,0.9985852980256018,7.9315185546875
24,3,33.33333333333333,45.92711909354386,0.9942004605158046,7.92083740234375
24,4,33.33333333333333,39.827029008439546,0.9778473116103533,7.9204559326171875
24,5,33.33333333333333,33.797479944810746,0.9238500246803806,7.926025390625
24,6,33.33333333333333,27.806882369578503,0.78936966921247,7.924652099609375
24,7,33.33333333333333,21.80530534937926,0.567641043379805,7.925851004464286
24,8,33.33333333333333,15.55626412320109,0.3049322888956146,7.926750183105469
25,1,32.0,59.34078615001412,0.9997319645734738,7.568359375
25,2,32.0,52.33012253504477,0.9986769814794888,7.587432861328125
25,3,32.0,46.10726696139708,0.9944193066554383,7.590230305989583
25,4,32.0,40.030638936115054,0.9782152723542955,7.58514404296875
25,5,32.0,34.00113958465281,0.9267549037931624,7.5927734375
25,6,32.0,27.995056777863002,0.7961314608486679,7.593790690104167
25,7,32.0,22.01967991228177,0.5774241869061582,7.593645368303571
25,8,32.0,15.756379387997313,0.31462606122685066,7.5923919677734375
26,1,30.76923076923077,59.519533387711164,0.9997475965378094,7.26318359375
26,2,30.76923076923077,52.506538914683475,0.9987167177583496,7.27996826171875
26,3,30.76923076923077,46.25548624178819,0.9946775667257659,7.284037272135417
26,4,30.76923076923077,40.186617576447105,0.9793023951436506,7.280731201171875
26,5,30.76923076923077,34.15437334708625,0.9280269988338634,7.28302001953125
26,6,30.76923076923077,28.16232348160858,0.8010782647784228,7.285308837890625
26,7,30.76923076923077,22.17683720769729,0.5849245193836525,7.286289760044643
