åÎÇËÉpÉ^Å[Éìí∑, ñÑÇﬂçûÇ›îÕàÕ, ñÑÇﬂçûÇ›ó¶,PSNR,SSIM,åÎÇËó¶
8,1,100.0,51.13157143044206,0.9986277972118808,50.10986328125
8,2,100.0,44.153418538943676,0.9932544676599914,50.146484375
8,3,100.0,37.92348236525909,0.9728766546066248,50.093587239583336
8,4,100.0,31.801257096594945,0.9061036216506508,50.11405944824219
8,5,100.0,26.068134719793346,0.7562425399093848,50.0830078125
8,6,100.0,19.32603436253817,0.5216281383413987,50.0274658203125
8,7,100.0,14.791635779866452,0.2671412531448875,50.020926339285715
8,8,100.0,7.376507800025366,0.010822661195158977,50.00457763671875
9,1,88.88888888888889,52.514895974851676,0.9989993707717628,36.4410400390625
9,2,88.88888888888889,45.55043719899988,0.9951065844847818,36.47918701171875
9,3,88.88888888888889,39.311065357124875,0.9798978937941593,36.43646240234375
9,4,88.88888888888889,33.220681044825014,0.9285379898617678,36.43035888671875
9,5,88.88888888888889,27.37526382911941,0.798119311843066,36.416015625
9,6,88.88888888888889,20.817285287243564,0.580468197343953,36.383056640625
9,7,88.88888888888889,15.892081343289252,0.32039329162857777,36.368015834263396
9,8,88.88888888888889,8.863103423540291,0.05712366813373544,36.362457275390625
10,1,80.0,53.277709447228915,0.9991623380626695,30.57098388671875
10,2,80.0,46.27156621149386,0.9958617962481707,30.5755615234375
10,3,80.0,40.07293410122653,0.9830748642645671,30.527750651041668
10,4,80.0,33.97293442670846,0.938395213691668,30.5419921875
10,5,80.0,28.10433808230686,0.8211770328824473,30.537109375
10,6,80.0,21.632504231296,0.6112446752761617,30.527242024739582
10,7,80.0,16.546757767765598,0.3516033593169,30.498613630022323
10,8,80.0,9.663073339436846,0.0871344163801875,30.487442016601562
11,1,72.72727272727273,54.095568653346746,0.9993058738655981,25.323486328125
11,2,72.72727272727273,47.10607796402351,0.9965248416079359,25.35247802734375
11,3,72.72727272727273,40.86904135480026,0.9858418460915296,25.34332275390625
11,4,72.72727272727273,34.78894710015861,0.9477440643069428,25.334548950195312
11,5,72.72727272727273,28.894870174973253,0.8420964271164965,25.33538818359375
11,6,72.72727272727273,22.502982960368186,0.6436059810222619,25.3326416015625
11,7,72.72727272727273,17.215373073750627,0.3800417175206284,25.3173828125
11,8,72.72727272727273,10.523652736140974,0.11356919562954017,25.302696228027344
12,1,66.66666666666666,54.69452071080659,0.9993944795482779,22.0611572265625
12,2,66.66666666666666,47.703619299577326,0.9969925115462338,22.04132080078125
12,3,66.66666666666666,41.49947556159149,0.9878214370606648,22.039794921875
12,4,66.66666666666666,35.40798560549766,0.9541763052265051,22.031021118164062
12,5,66.66666666666666,29.48874038816953,0.858818818815078,22.027587890625
12,6,66.66666666666666,23.110759367818336,0.6683501915707982,22.023518880208332
12,7,66.66666666666666,17.768121062436805,0.4084654270217297,22.014072963169642
12,8,66.66666666666666,11.145924857581587,0.13604593503188508,22.001075744628906
13,1,61.53846153846154,55.14449255987262,0.9994547788199376,19.88983154296875
13,2,61.53846153846154,48.15452598415774,0.9972962647537817,19.8822021484375
13,3,61.53846153846154,41.910068679418856,0.9888203164027574,19.911702473958332
13,4,61.53846153846154,35.82627151576287,0.9577275561330916,19.909286499023438
13,5,61.53846153846154,29.917685621576773,0.8668598645947374,19.90447998046875
13,6,61.53846153846154,23.597430974965313,0.6865829716235354,19.905598958333332
13,7,61.53846153846154,18.158191505084663,0.42784947196740436,19.901602608816965
13,8,61.53846153846154,11.555298009020694,0.15645726365039866,19.898414611816406
14,1,57.14285714285714,55.56135234745628,0.9995056754439632,18.0694580078125
14,2,57.14285714285714,48.57869944236235,0.9975573905344695,18.059539794921875
14,3,57.14285714285714,42.34587070094363,0.9899205890979691,18.088277180989582
14,4,57.14285714285714,36.24265641485296,0.9616282209680656,18.076324462890625
14,5,57.14285714285714,30.304450057928154,0.8769744330927046,18.0718994140625
14,6,57.14285714285714,23.987948592527975,0.7004473146513964,18.071746826171875
14,7,57.14285714285714,18.560145884042242,0.44650153403941373,18.065534319196427
14,8,57.14285714285714,11.99852479708543,0.17309540476596683,18.065452575683594
15,1,53.333333333333336,55.97062408634499,0.999554619980952,16.44439697265625
15,2,53.333333333333336,48.997396939723146,0.9977534137649174,16.43524169921875
15,3,53.333333333333336,42.71014433594501,0.990585719018109,16.477457682291668
15,4,53.333333333333336,36.674140804140826,0.9650917914494869,16.473388671875
15,5,53.333333333333336,30.71860526890528,0.8867029082812525,16.45782470703125
15,6,53.333333333333336,24.425302903428996,0.7193619581607837,16.4581298828125
15,7,53.333333333333336,18.973038467281786,0.471491784949123,16.459001813616073
15,8,53.333333333333336,12.423697149680141,0.19963539209397677,16.454124450683594
16,1,50.0,56.35111154477573,0.9995904380906258,15.06500244140625
16,2,50.0,49.3960358254101,0.9979949710634762,15.027618408203125
16,3,50.0,43.137641183565876,0.9916092398508036,15.034993489583334
16,4,50.0,37.0450978386428,0.9681033925860661,15.038299560546875
16,5,50.0,31.13632826314367,0.8970111958760582,15.02899169921875
16,6,50.0,24.85906423984252,0.7397023115985798,15.0146484375
16,7,50.0,19.31204805427844,0.4959687056373785,15.013994489397321
16,8,50.0,12.8217546093512,0.22162902043927368,15.010261535644531
17,1,47.05882352941176,56.763323199317554,0.9996218055962531,13.70086669921875
17,2,47.05882352941176,49.73778578233778,0.9981092684291876,13.706207275390625
17,3,47.05882352941176,43.524670366353256,0.9922462867396956,13.710530598958334
17,4,47.05882352941176,37.436051502803615,0.9701731485992755,13.724136352539062
17,5,47.05882352941176,31.5136635234648,0.9031380689044582,13.72406005859375
17,6,47.05882352941176,25.264412091976965,0.7529850555636804,13.711802164713541
17,7,47.05882352941176,19.68812610504578,0.509966558924477,13.716997419084821
17,8,47.05882352941176,13.204488727932693,0.23629890898673606,13.718414306640625
18,1,44.44444444444444,57.153229437238686,0.99965954455216,12.5244140625
18,2,44.44444444444444,50.161413464570366,0.9982899031236134,12.537384033203125
18,3,44.44444444444444,43.91705018609664,0.9928789808346569,12.52899169921875
18,4,44.44444444444444,37.831365765619864,0.9726857145515259,12.54425048828125
18,5,44.44444444444444,31.86161481090137,0.9082709679394382,12.528076171875
18,6,44.44444444444444,25.627582080707974,0.7592400064775104,12.525177001953125
18,7,44.44444444444444,20.04056916427041,0.5205663465620491,12.520490373883929
18,8,44.44444444444444,13.62028140281459,0.2465683018543602,12.525367736816406
19,1,42.10526315789473,57.55310468713206,0.9996840985444018,11.4227294921875
19,2,42.10526315789473,50.53979910918098,0.9984209420589181,11.449432373046875
19,3,42.10526315789473,44.31183662398227,0.9934645205209129,11.446126302083334
19,4,42.10526315789473,38.220726189853856,0.9746448118504066,11.451339721679688
19,5,42.10526315789473,32.27447196466204,0.9146310912131069,11.4501953125
19,6,42.10526315789473,26.05008540529665,0.77307619035113,11.446634928385416
